ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Eucalyptus camaldulensis,VSC,5,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Eucalyptus camaldulensis,IAVC,1,21,-,-,0.0015459,-1.96673e-06,-,-,-,-
Eucalyptus camaldulensis,IAVC,2,21,-,-,0.0015459,-1.96673e-06,-,-,-,-
Eucalyptus camaldulensis,IAVC,3,21,-,-,0.0015459,-1.96673e-06,-,-,-,-
Eucalyptus camaldulensis,IAVC,5,21,-,-,0.0015459,-1.96673e-06,-,-,-,-
Eucalyptus camaldulensis,VLE,1,12,-,-,-,,4.4e-05,2.39055,-,-
Eucalyptus camaldulensis,VLE,2,12,-,-,-,,4.4e-05,2.39055,-,-
Eucalyptus camaldulensis,VLE,3,12,-,-,-,,4.4e-05,2.39055,-,-
Eucalyptus camaldulensis,VLE,5,12,-,-,-,,4.4e-05,2.39055,-,-
Otros eucaliptos,VCC,1,1,39.2,0.0002521,-,,-,-,-,-
Otros eucaliptos,VCC,2,1,39.2,0.0002521,-,,-,-,-,-
Otros eucaliptos,VCC,3,1,-1.74,0.000225,-,,-,-,-,-
Otros eucaliptos,VCC,5,1,21.5,0.000112,-,,-,-,-,-
Otros eucaliptos,VSC,1,7,-1.94,0.8117836,6.4e-06,,-,-,-,-
Otros eucaliptos,VSC,2,7,-1.94,0.8117836,6.4e-06,,-,-,-,-
Otros eucaliptos,VSC,3,7,-0.43,0.8172999,0.0010656,,-,-,-,-
Otros eucaliptos,VSC,5,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Otros eucaliptos,IAVC,1,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Otros eucaliptos,IAVC,2,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Otros eucaliptos,IAVC,3,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Otros eucaliptos,IAVC,5,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Otros eucaliptos,VLE,1,12,-,-,-,,0.0017465,1.73173,-,-
Otros eucaliptos,VLE,2,12,-,-,-,,0.0017465,1.73173,-,-
Otros eucaliptos,VLE,3,12,-,-,-,,0.0017465,1.73173,-,-
Otros eucaliptos,VLE,5,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus nitens,VCC,1,1,3.44,0.0002632,-,,-,-,-,-
Eucalyptus nitens,VCC,2,1,3.44,0.0002632,-,,-,-,-,-
Eucalyptus nitens,VCC,3,1,3.44,0.0002632,-,,-,-,-,-
Eucalyptus nitens,VCC,5,1,3.44,0.0002632,-,,-,-,-,-
Eucalyptus nitens,VSC,1,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Eucalyptus nitens,VSC,2,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Eucalyptus nitens,VSC,3,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Eucalyptus nitens,VSC,5,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Eucalyptus nitens,IAVC,1,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Eucalyptus nitens,IAVC,2,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Eucalyptus nitens,IAVC,3,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Eucalyptus nitens,IAVC,5,19,75.37798,-1.1975171,0.0063068,-3.9959e-06,-,-,-,-
Eucalyptus nitens,VLE,1,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus nitens,VLE,2,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus nitens,VLE,3,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus nitens,VLE,5,12,-,-,-,,0.0017465,1.73173,-,-
Ilex aquifolium,VCC,2,1,-7.75,0.0004006,-,,-,-,-,-
Ilex aquifolium,VCC,3,1,-7.75,0.0004006,-,,-,-,-,-
Ilex aquifolium,VCC,5,1,-7.75,0.0004006,-,,-,-,-,-
Ilex aquifolium,VSC,2,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Ilex aquifolium,VSC,3,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Ilex aquifolium,VSC,5,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Ilex aquifolium,IAVC,2,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Ilex aquifolium,IAVC,3,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Ilex aquifolium,IAVC,5,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Ilex aquifolium,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Ilex aquifolium,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Ilex aquifolium,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
Castanea sativa,VCC,2,1,37.82,0.0002479,-,,-,-,-,-
Castanea sativa,VCC,3,1,9.21,0.0001654,-,,-,-,-,-
Castanea sativa,VCC,4,1,77.74,0.000134,-,,-,-,-,-
Castanea sativa,VCC,5,1,77.74,0.000134,-,,-,-,-,-
Castanea sativa,VCC,6,1,129.07,0.0001544,-,,-,-,-,-
Castanea sativa,VSC,2,7,8.08,0.7941643,3.51e-05,,-,-,-,-
Castanea sativa,VSC,3,7,8.08,0.7941643,3.51e-05,,-,-,-,-
Castanea sativa,VSC,4,7,14.84,0.7237114,0.0001578,,-,-,-,-
Castanea sativa,VSC,5,7,-8.16,0.8756752,2.98e-05,,-,-,-,-
Castanea sativa,VSC,6,8,-8.16,0.8756752,2.98e-05,,-,-,-,-
Castanea sativa,IAVC,2,21,-,-,0.0003084,-3.6047e-07,-,-,-,-
Castanea sativa,IAVC,3,21,-,-,0.0003084,-3.6047e-07,-,-,-,-
Castanea sativa,IAVC,4,21,-,-,0.0003084,-3.6047e-07,-,-,-,-
Castanea sativa,IAVC,5,21,-,-,0.0003084,-3.6047e-07,-,-,-,-
Castanea sativa,IAVC,6,21,-,-,0.0003084,-3.6047e-07,-,-,-,-
Castanea sativa,VLE,2,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,3,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,4,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,5,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,6,12,-,-,-,,2.12e-05,2.52613,-,-
Betula spp.,VCC,2,1,12.68,0.0002535,-,,-,-,-,-
Betula spp.,VCC,3,1,12.68,0.0002535,-,,-,-,-,-
Betula spp.,VCC,5,1,12.68,0.0002535,-,,-,-,-,-
Betula spp.,VSC,2,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Betula spp.,VSC,3,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Betula spp.,VSC,5,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Betula spp.,IAVC,2,21,-,-,0.0002516,-4.0657e-07,-,-,-,-
Betula spp.,IAVC,3,21,-,-,0.0002516,-4.0657e-07,-,-,-,-
Betula spp.,IAVC,5,21,-,-,0.0002516,-4.0657e-07,-,-,-,-
Betula spp.,VLE,2,12,-,-,-,,4.66e-05,2.38142,-,-
Betula spp.,VLE,3,12,-,-,-,,4.66e-05,2.38142,-,-
Betula spp.,VLE,5,12,-,-,-,,4.66e-05,2.38142,-,-
Corylus avellana,VCC,2,1,-7.75,0.0004006,-,,-,-,-,-
Corylus avellana,VCC,3,1,-7.75,0.0004006,-,,-,-,-,-
Corylus avellana,VCC,5,1,-7.75,0.0004006,-,,-,-,-,-
Corylus avellana,VSC,2,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Corylus avellana,VSC,3,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Corylus avellana,VSC,5,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Corylus avellana,IAVC,2,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Corylus avellana,IAVC,3,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Corylus avellana,IAVC,5,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Corylus avellana,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Corylus avellana,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Corylus avellana,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
Robinia pseudoacacia,VCC,2,1,18.95,0.0002621,-,,-,-,-,-
Robinia pseudoacacia,VCC,3,1,18.95,0.0002621,-,,-,-,-,-
Robinia pseudoacacia,VCC,5,1,18.95,0.0002621,-,,-,-,-,-
Robinia pseudoacacia,VSC,2,7,0.26,0.8236223,2.33e-05,,-,-,-,-
Robinia pseudoacacia,VSC,3,7,0.26,0.8236223,2.33e-05,,-,-,-,-
Robinia pseudoacacia,VSC,5,7,0.26,0.8236223,2.33e-05,,-,-,-,-
Robinia pseudoacacia,IAVC,2,17,-10.96925,0.2021321,-0.0002073,-,-,-,-,-
Robinia pseudoacacia,IAVC,3,17,-10.96925,0.2021321,-0.0002073,-,-,-,-,-
Robinia pseudoacacia,IAVC,5,17,-10.96925,0.2021321,-0.0002073,-,-,-,-,-
Robinia pseudoacacia,VLE,2,12,-,-,-,,2.12e-05,2.52613,-,-
Robinia pseudoacacia,VLE,3,12,-,-,-,,2.12e-05,2.52613,-,-
Robinia pseudoacacia,VLE,5,12,-,-,-,,2.12e-05,2.52613,-,-
Laurus nobilis,VCC,2,1,-7.75,0.0004006,-,,-,-,-,-
Laurus nobilis,VCC,3,1,-7.75,0.0004006,-,,-,-,-,-
Laurus nobilis,VCC,4,1,-7.75,0.0004006,-,,-,-,-,-
Laurus nobilis,VCC,5,1,-7.75,0.0004006,-,,-,-,-,-
Laurus nobilis,VSC,2,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Laurus nobilis,VSC,3,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Laurus nobilis,VSC,4,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Laurus nobilis,VSC,5,7,0.19,0.7891678,3.08e-05,,-,-,-,-
Laurus nobilis,IAVC,2,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Laurus nobilis,IAVC,3,21,-,-,0.0003255,-7.555e-08,-,-,-,-
