ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Eucalyptus globulus,VLE,6,12,-,-,-,,0.0017465,1.73173,-,-
Eucalyptus camaldulensis,VCC,2,1,36.16858,0.000277,-,-,-,-,-,
Eucalyptus camaldulensis,VCC,3,1,0.097,0.000182,-,-,-,-,-,
Eucalyptus camaldulensis,VCC,5,1,21.50442,0.000112,-,-,-,-,-,
Eucalyptus camaldulensis,VSC,2,7,-3.43,0.8106233,7.9e-06,-,-,-,-,
Eucalyptus camaldulensis,VSC,3,7,0.05,0.7677083,0.0016267,-,-,-,-,
Eucalyptus camaldulensis,VSC,5,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Eucalyptus camaldulensis,IAVC,2,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus camaldulensis,IAVC,3,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus camaldulensis,IAVC,5,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Eucalyptus camaldulensis,VLE,2,12,-,-,-,,4.4e-05,2.39055,-,-
Eucalyptus camaldulensis,VLE,3,12,-,-,-,,4.4e-05,2.39055,-,-
Eucalyptus camaldulensis,VLE,5,12,-,-,-,,4.4e-05,2.39055,-,-
Otros eucaliptos,VCC,2,1,18.65,0.0002641,-,-,-,-,-,
Otros eucaliptos,VSC,2,7,-3.43,0.8106233,7.9e-06,-,-,-,-,
Otros eucaliptos,IAVC,2,21,-,-,0.0009771,-7.8166e-07,-,-,-,-
Otros eucaliptos,VLE,2,12,-,-,-,,0.0017465,1.73173,-,-
Castanea sativa,VCC,2,1,74.43,0.0002252,-,-,-,-,-,
Castanea sativa,VCC,3,1,9.21285,0.0001654,-,-,-,-,-,
Castanea sativa,VCC,4,1,77.74,0.000134,-,-,-,-,-,
Castanea sativa,VCC,5,1,77.74204,0.000134,-,-,-,-,-,
Castanea sativa,VCC,6,1,77.74204,0.000134,-,-,-,-,-,
Castanea sativa,VSC,2,7,-0.44,0.8449039,8.1e-06,-,-,-,-,
Castanea sativa,VSC,3,7,-11.1,0.8822753,8.3e-06,-,-,-,-,
Castanea sativa,VSC,4,7,-24.93,0.8947714,4.9e-06,-,-,-,-,
Castanea sativa,VSC,5,7,-11.1,0.8822753,8.3e-06,-,-,-,-,
Castanea sativa,VSC,6,7,-11.1,0.8822753,8.3e-06,-,-,-,-,
Castanea sativa,IAVC,2,17,-4.92037,0.0900112,-7.51e-05,-,-,-,-,-
Castanea sativa,IAVC,3,17,-4.92037,0.0900112,-7.51e-05,-,-,-,-,-
Castanea sativa,IAVC,4,17,-4.92037,0.0900112,-7.51e-05,-,-,-,-,-
Castanea sativa,IAVC,5,17,-4.92037,0.0900112,-7.51e-05,-,-,-,-,-
Castanea sativa,IAVC,6,17,-4.92037,0.0900112,-7.51e-05,-,-,-,-,-
Castanea sativa,VLE,2,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,3,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,4,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,5,12,-,-,-,,2.12e-05,2.52613,-,-
Castanea sativa,VLE,6,12,-,-,-,,2.12e-05,2.52613,-,-
Robinia pseudoacacia,VCC,2,1,18.95,0.0002621,-,-,-,-,-,
Robinia pseudoacacia,VCC,3,1,18.95,0.0002621,-,-,-,-,-,
Robinia pseudoacacia,VCC,4,1,18.95,0.0002621,-,-,-,-,-,
Robinia pseudoacacia,VCC,5,1,18.95,0.0002621,-,-,-,-,-,
Robinia pseudoacacia,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Robinia pseudoacacia,VSC,3,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Robinia pseudoacacia,VSC,4,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Robinia pseudoacacia,VSC,5,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Robinia pseudoacacia,IAVC,2,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Robinia pseudoacacia,IAVC,3,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Robinia pseudoacacia,IAVC,4,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Robinia pseudoacacia,IAVC,5,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Robinia pseudoacacia,VLE,2,12,-,-,-,,2.12e-05,2.52613,-,-
Robinia pseudoacacia,VLE,3,12,-,-,-,,2.12e-05,2.52613,-,-
Robinia pseudoacacia,VLE,4,12,-,-,-,,2.12e-05,2.52613,-,-
Robinia pseudoacacia,VLE,5,12,-,-,-,,2.12e-05,2.52613,-,-
Laurus nobilis,VCC,2,1,-7.75,0.0004006,-,-,-,-,-,
Laurus nobilis,VCC,3,1,-7.75,0.0004006,-,-,-,-,-,
Laurus nobilis,VCC,4,1,-7.75,0.0004006,-,-,-,-,-,
Laurus nobilis,VCC,5,1,-7.75,0.0004006,-,-,-,-,-,
Laurus nobilis,VSC,2,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Laurus nobilis,VSC,3,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Laurus nobilis,VSC,4,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Laurus nobilis,VSC,5,7,1.88,0.7659407,8.55e-05,-,-,-,-,
Laurus nobilis,IAVC,2,20,-2.3494,0.0609603,-,-1.1042e-07,-,-,-,-
Laurus nobilis,IAVC,3,20,-2.3494,0.0609603,-,-1.1042e-07,-,-,-,-
Laurus nobilis,IAVC,4,20,-2.3494,0.0609603,-,-1.1042e-07,-,-,-,-
Laurus nobilis,IAVC,5,20,-2.3494,0.0609603,-,-1.1042e-07,-,-,-,-
