ESPECIE,Parámetro,FORMA DE CUBICACIÓN,Model,A,B,C,D,P,Q,R,DNM
Salix caprea,IAVC,3,16,0.50416,0.0001005,-,-,-,-,-,-
Salix caprea,IAVC,4,16,0.50416,0.0001005,-,-,-,-,-,-
Salix caprea,IAVC,5,16,0.50416,0.0001005,-,-,-,-,-,-
Salix caprea,VLE,2,12,-,-,-,-,0.0016601,1.7736,-,-
Salix caprea,VLE,3,12,-,-,-,-,0.0016601,1.7736,-,-
Salix caprea,VLE,4,12,-,-,-,-,0.0016601,1.7736,-,-
Salix caprea,VLE,5,12,-,-,-,-,0.0016601,1.7736,-,-
Salix elaeagnos,VCC,2,1,109.53,0.0001481,-,-,-,-,-,-
Salix elaeagnos,VSC,2,7,-6.58,0.7708192,5.59e-05,-,-,-,-,-
Salix elaeagnos,IAVC,2,16,0.50416,0.0001005,-,-,-,-,-,-
Salix elaeagnos,VLE,2,12,-,-,-,-,0.0016601,1.7736,-,-
Populus nigra,VCC,2,1,56.04,0.0002424,-,-,-,-,-,-
Populus nigra,VCC,3,1,0.68,0.0002336,-,-,-,-,-,-
Populus nigra,VCC,5,1,59.08,0.0001293,-,-,-,-,-,-
Populus nigra,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,VSC,3,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,VSC,5,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,IAVC,2,21,-,-,0.0003022,-2.7757e-07,-,-,-,-
Populus nigra,IAVC,3,21,-,-,0.0003022,-2.7757e-07,-,-,-,-
Populus nigra,IAVC,5,21,-,-,0.0003022,-2.7757e-07,-,-,-,-
Populus nigra,VLE,2,12,-,-,-,-,0.0001247,2.16723,-,-
Populus nigra,VLE,3,12,-,-,-,-,0.0001247,2.16723,-,-
Populus nigra,VLE,5,12,-,-,-,-,0.0001247,2.16723,-,-
Eucalyptus globulus,VCC,2,1,33.03,0.0002564,-,-,-,-,-,-
Eucalyptus globulus,VCC,3,1,-1.02,0.0002111,-,-,-,-,-,-
Eucalyptus globulus,VCC,5,1,21.5,0.000112,-,-,-,-,-,-
Eucalyptus globulus,VSC,2,7,-2.08,0.8099444,7.2e-06,-,-,-,-,-
Eucalyptus globulus,VSC,3,7,0.05,0.7677083,0.0016267,-,-,-,-,-
Eucalyptus globulus,VSC,5,7,2.55,0.7571656,8.57e-05,-,-,-,-,-
Eucalyptus globulus,IAVC,2,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus globulus,IAVC,3,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus globulus,IAVC,5,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus globulus,VLE,2,12,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,3,12,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,5,12,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus camaldulensis,VCC,2,1,44.68,0.000218,-,-,-,-,-,-
Eucalyptus camaldulensis,VSC,2,7,-1.72,0.811565,6.5e-06,-,-,-,-,-
Eucalyptus camaldulensis,IAVC,2,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus camaldulensis,VLE,2,12,-,-,-,-,4.4e-05,2.39055,-,-
Eucalyptus nitens,VCC,2,1,3.44,0.0002632,-,-,-,-,-,-
Eucalyptus nitens,VCC,3,1,3.44,0.0002632,-,-,-,-,-,-
Eucalyptus nitens,VCC,5,1,3.44,0.0002632,-,-,-,-,-,-
Eucalyptus nitens,VSC,2,7,-1.72,0.811565,6.5e-06,-,-,-,-,-
Eucalyptus nitens,VSC,3,7,-1.72,0.811565,6.5e-06,-,-,-,-,-
Eucalyptus nitens,VSC,5,7,-1.72,0.811565,6.5e-06,-,-,-,-,-
Eucalyptus nitens,IAVC,2,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus nitens,IAVC,3,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus nitens,IAVC,5,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus nitens,VLE,2,12,-,-,-,-,4.4e-05,2.39055,-,-
