ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Quercus petraea,VSC,2,7,-18.21,0.8654326,4.8e-06,-,-,-,-,-
Quercus petraea,VSC,3,7,-7.92,0.8604251,1.76e-05,-,-,-,-,-
Quercus petraea,VSC,4,7,-12.26,0.894548,3.1e-06,-,-,-,-,-
Quercus petraea,VSC,5,7,-7.92,0.8604251,1.76e-05,-,-,-,-,-
Quercus petraea,IAVC,1,21,-,-,0.0001232,-8.383e-08,-,-,-,-
Quercus petraea,IAVC,2,21,-,-,0.0001232,-8.383e-08,-,-,-,-
Quercus petraea,IAVC,3,21,-,-,0.0001232,-8.383e-08,-,-,-,-
Quercus petraea,IAVC,4,21,-,-,0.0001232,-8.383e-08,-,-,-,-
Quercus petraea,IAVC,5,21,-,-,0.0001232,-8.383e-08,-,-,-,-
Quercus petraea,VLE,1,12,-,-,-,0.0003791,2.02691,-,-,-
Quercus petraea,VLE,2,12,-,-,-,0.0003791,2.02691,-,-,-
Quercus petraea,VLE,3,12,-,-,-,0.0003791,2.02691,-,-,-
Quercus petraea,VLE,4,12,-,-,-,0.0003791,2.02691,-,-,-
Quercus petraea,VLE,5,12,-,-,-,0.0003791,2.02691,-,-,-
Quercus pyrenaica,VCC,2,1,37.51,0.0002707,-,-,-,-,-,-
Quercus pyrenaica,VCC,3,1,15.14,0.00014,-,-,-,-,-,-
Quercus pyrenaica,VCC,4,1,42.94,0.000171,-,-,-,-,-,-
Quercus pyrenaica,VCC,5,1,36.92,0.00021,-,-,-,-,-,-
Quercus pyrenaica,VSC,2,7,-9.32,0.7923712,2.44e-05,-,-,-,-,-
Quercus pyrenaica,VSC,3,7,-7.61,0.7924781,7.86e-05,-,-,-,-,-
Quercus pyrenaica,VSC,4,7,-7.61,0.7924781,7.86e-05,-,-,-,-,-
Quercus pyrenaica,VSC,5,7,-7.61,0.7924781,7.86e-05,-,-,-,-,-
Quercus pyrenaica,IAVC,2,21,-,-,0.0001345,-1.0908e-07,-,-,-,-
Quercus pyrenaica,IAVC,3,21,-,-,0.0001345,-1.0908e-07,-,-,-,-
Quercus pyrenaica,IAVC,4,21,-,-,0.0001345,-1.0908e-07,-,-,-,-
Quercus pyrenaica,IAVC,5,21,-,-,0.0001345,-1.0908e-07,-,-,-,-
Quercus pyrenaica,VLE,2,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus pyrenaica,VLE,3,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus pyrenaica,VLE,4,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus pyrenaica,VLE,5,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus pubescens (Q.humilis),VCC,2,1,37.51,0.0002707,-,-,-,-,-,-
Quercus pubescens (Q.humilis),VCC,3,1,15.14,0.00014,-,-,-,-,-,-
Quercus pubescens (Q.humilis),VCC,4,1,42.94,0.000171,-,-,-,-,-,-
Quercus pubescens (Q.humilis),VCC,5,1,36.92,0.00021,-,-,-,-,-,-
Quercus pubescens (Q.humilis),VSC,2,7,-9.32,0.7923712,2.44e-05,-,-,-,-,-
Quercus pubescens (Q.humilis),VSC,3,7,-7.61,0.7924781,7.86e-05,-,-,-,-,-
Quercus pubescens (Q.humilis),VSC,4,7,-7.61,0.7924781,7.86e-05,-,-,-,-,-
Quercus pubescens (Q.humilis),VSC,5,7,-7.61,0.7924781,7.86e-05,-,-,-,-,-
Quercus pubescens (Q.humilis),IAVC,2,21,-,-,0.0001351,-1.3016e-07,-,-,-,-
Quercus pubescens (Q.humilis),IAVC,3,21,-,-,0.0001351,-1.3016e-07,-,-,-,-
Quercus pubescens (Q.humilis),IAVC,4,21,-,-,0.0001351,-1.3016e-07,-,-,-,-
Quercus pubescens (Q.humilis),IAVC,5,21,-,-,0.0001351,-1.3016e-07,-,-,-,-
Quercus pubescens (Q.humilis),VLE,2,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus pubescens (Q.humilis),VLE,3,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus pubescens (Q.humilis),VLE,4,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus pubescens (Q.humilis),VLE,5,12,-,-,-,9.44e-05,2.27236,-,-,-
Quercus faginea,VCC,2,1,1.33,0.0002973,-,-,-,-,-,-
Quercus faginea,VCC,3,1,5.95,0.000276,-,-,-,-,-,-
Quercus faginea,VCC,4,1,104.75,0.0001132,-,-,-,-,-,-
Quercus faginea,VCC,5,1,26.2,0.000221,-,-,-,-,-,-
Quercus faginea,VSC,2,7,-12.76,0.8169615,3.1e-05,-,-,-,-,-
Quercus faginea,VSC,3,7,-6.81,0.8009856,7.14e-05,-,-,-,-,-
Quercus faginea,VSC,4,7,-12.11,0.8848039,-7.1e-06,-,-,-,-,-
Quercus faginea,VSC,5,7,-6.81,0.8009856,7.14e-05,-,-,-,-,-
Quercus faginea,IAVC,2,21,-,-,6.63e-05,-4.248e-08,-,-,-,-
Quercus faginea,IAVC,3,21,-,-,6.63e-05,-4.248e-08,-,-,-,-
Quercus faginea,IAVC,4,21,-,-,6.63e-05,-4.248e-08,-,-,-,-
Quercus faginea,IAVC,5,21,-,-,6.63e-05,-4.248e-08,-,-,-,-
Quercus faginea,VLE,2,12,-,-,-,3.63e-05,2.46992,-,-,-
Quercus faginea,VLE,3,12,-,-,-,3.63e-05,2.46992,-,-,-
Quercus faginea,VLE,4,12,-,-,-,3.63e-05,2.46992,-,-,-
Quercus faginea,VLE,5,12,-,-,-,3.63e-05,2.46992,-,-,-
Quercus ilex ,VCC,2,1,49.26,0.000261,-,-,-,-,-,-
Quercus ilex ,VCC,3,1,13.08,0.000271,-,-,-,-,-,-
Quercus ilex ,VCC,4,1,7.7,0.0001858,-,-,-,-,-,-
Quercus ilex ,VCC,5,1,26.44,0.00023,-,-,-,-,-,-
Quercus ilex ,VSC,2,7,-7.44,0.8944181,-9.3e-06,-,-,-,-,-
Quercus ilex ,VSC,3,7,-7.44,0.8944181,-9.3e-06,-,-,-,-,-
Quercus ilex ,VSC,4,7,-4.59,0.8714749,4.87e-05,-,-,-,-,-
Quercus ilex ,VSC,5,7,-7.44,0.8944181,-9.3e-06,-,-,-,-,-
Quercus ilex ,IAVC,2,19,-0.05205,-0.0023425,6.26e-05,-3.808e-08,-,-,-,-
Quercus ilex ,IAVC,3,19,-0.05205,-0.0023425,6.26e-05,-3.808e-08,-,-,-,-
Quercus ilex ,IAVC,4,19,-0.05205,-0.0023425,6.26e-05,-3.808e-08,-,-,-,-
Quercus ilex ,IAVC,5,19,-0.05205,-0.0023425,6.26e-05,-3.808e-08,-,-,-,-
Quercus ilex ,VLE,2,12,-,-,-,3.19e-05,2.56596,-,-,-
Quercus ilex ,VLE,3,12,-,-,-,3.19e-05,2.56596,-,-,-
Quercus ilex ,VLE,4,12,-,-,-,3.19e-05,2.56596,-,-,-
Quercus ilex ,VLE,5,12,-,-,-,3.19e-05,2.56596,-,-,-
Quercus rubra,VCC,1,1,68.51,0.0002434,-,-,-,-,-,-
Quercus rubra,VCC,2,1,68.51,0.0002434,-,-,-,-,-,-
Quercus rubra,VCC,3,1,23.03,0.000253,-,-,-,-,-,-
Quercus rubra,VCC,4,1,23.03,0.000253,-,-,-,-,-,-
Quercus rubra,VCC,5,1,23.03,0.000253,-,-,-,-,-,-
Quercus rubra,VSC,1,7,-1.84,0.8796637,1.14e-05,-,-,-,-,-
Quercus rubra,VSC,2,7,-1.84,0.8796637,1.14e-05,-,-,-,-,-
Quercus rubra,VSC,3,7,-1.84,0.8796637,1.14e-05,-,-,-,-,-
Quercus rubra,VSC,4,7,-1.84,0.8796637,1.14e-05,-,-,-,-,-
Quercus rubra,VSC,5,7,-1.84,0.8796637,1.14e-05,-,-,-,-,-
Quercus rubra,IAVC,1,16,-0.22867,0.0002993,-,-,-,-,-,-
Quercus rubra,IAVC,2,16,-0.22867,0.0002993,-,-,-,-,-,-
Quercus rubra,IAVC,3,16,-0.22867,0.0002993,-,-,-,-,-,-
Quercus rubra,IAVC,4,16,-0.22867,0.0002993,-,-,-,-,-,-
Quercus rubra,IAVC,5,16,-0.22867,0.0002993,-,-,-,-,-,-
Quercus rubra,VLE,1,12,-,-,-,1.16e-05,2.63852,-,-,-
Quercus rubra,VLE,2,12,-,-,-,1.16e-05,2.63852,-,-,-
Quercus rubra,VLE,3,12,-,-,-,1.16e-05,2.63852,-,-,-
Quercus rubra,VLE,4,12,-,-,-,1.16e-05,2.63852,-,-,-
Quercus rubra,VLE,5,12,-,-,-,1.16e-05,2.63852,-,-,-
Populus alba,VCC,2,1,30.91,0.0002599,-,-,-,-,-,-
Populus alba,VCC,3,1,30.91,0.0002599,-,-,-,-,-,-
Populus alba,VCC,5,1,30.91,0.0002599,-,-,-,-,-,-
Populus alba,VSC,2,7,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Populus alba,VSC,3,7,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Populus alba,VSC,5,7,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Populus alba,IAVC,2,19,5.24765,-0.0632009,0.0003085,-6.62e-08,-,-,-,-
Populus alba,IAVC,3,19,5.24765,-0.0632009,0.0003085,-6.62e-08,-,-,-,-
Populus alba,IAVC,5,19,5.24765,-0.0632009,0.0003085,-6.62e-08,-,-,-,-
Populus alba,VLE,2,12,-,-,-,0.0001247,2.16723,-,-,-
Populus alba,VLE,3,12,-,-,-,0.0001247,2.16723,-,-,-
