ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Quercus ilex subsp. ballota,VLE,5.0,12.0,-,-,-,-,3.19e-05,2.56596,-,-
Alnus glutinosa,VCC,2.0,1.0,4.78,0.0002735,-,-,-,-,-,-
Alnus glutinosa,VCC,3.0,1.0,4.78,0.0002735,-,-,-,-,-,-
Alnus glutinosa,VCC,5.0,1.0,4.78,0.0002735,-,-,-,-,-,-
Alnus glutinosa,VSC,2.0,7.0,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Alnus glutinosa,VSC,3.0,7.0,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Alnus glutinosa,VSC,5.0,7.0,-2.29,0.9171828,4.5e-06,-,-,-,-,-
Alnus glutinosa,IAVC,2.0,21.0,-,-,0.000326,-3.5924e-07,-,-,-,-
Alnus glutinosa,IAVC,3.0,21.0,-,-,0.000326,-3.5924e-07,-,-,-,-
Alnus glutinosa,IAVC,5.0,21.0,-,-,0.000326,-3.5924e-07,-,-,-,-
Alnus glutinosa,VLE,2.0,12.0,-,-,-,-,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,3.0,12.0,-,-,-,-,0.0009308,1.83129,-,-
Alnus glutinosa,VLE,5.0,12.0,-,-,-,-,0.0009308,1.83129,-,-
Salix atrocinerea,VCC,2.0,1.0,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VCC,3.0,1.0,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VCC,4.0,1.0,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VCC,5.0,1.0,109.53,0.0001481,-,-,-,-,-,-
Salix atrocinerea,VSC,2.0,7.0,-6.47,0.7939548,3.43e-05,-,-,-,-,-
Salix atrocinerea,VSC,3.0,7.0,-6.47,0.7939548,3.43e-05,-,-,-,-,-
Salix atrocinerea,VSC,4.0,7.0,-6.47,0.7939548,3.43e-05,-,-,-,-,-
Salix atrocinerea,VSC,5.0,7.0,-6.47,0.7939548,3.43e-05,-,-,-,-,-
Salix atrocinerea,IAVC,2.0,21.0,-,-,0.000206,-2.4931e-07,-,-,-,-
Salix atrocinerea,IAVC,3.0,21.0,-,-,0.000206,-2.4931e-07,-,-,-,-
Salix atrocinerea,IAVC,4.0,21.0,-,-,0.000206,-2.4931e-07,-,-,-,-
Salix atrocinerea,IAVC,5.0,21.0,-,-,0.000206,-2.4931e-07,-,-,-,-
Salix atrocinerea,VLE,2.0,12.0,-,-,-,-,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,3.0,12.0,-,-,-,-,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,4.0,12.0,-,-,-,-,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,5.0,12.0,-,-,-,-,0.0016601,1.7736,-,-
Populus nigra,VCC,2.0,1.0,56.04,0.0002424,-,-,-,-,-,-
Populus nigra,VCC,5.0,1.0,59.08,0.0001293,-,-,-,-,-,-
Populus nigra,VSC,2.0,7.0,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,VSC,5.0,7.0,0.26,0.8236223,2.33e-05,-,-,-,-,-
Populus nigra,IAVC,2.0,21.0,-,-,0.0005992,-5.7798e-07,-,-,-,-
Populus nigra,IAVC,5.0,21.0,-,-,0.0005992,-5.7798e-07,-,-,-,-
Populus nigra,VLE,2.0,12.0,-,-,-,-,0.0001247,2.16723,-,-
Populus nigra,VLE,5.0,12.0,-,-,-,-,0.0001247,2.16723,-,-
Eucalyptus globulus,VCC,1.0,1.0,36.96,0.0002569,-,-,-,-,-,-
Eucalyptus globulus,VCC,2.0,1.0,36.96,0.0002569,-,-,-,-,-,-
Eucalyptus globulus,VCC,3.0,1.0,-1.02,0.0002111,-,-,-,-,-,-
Eucalyptus globulus,VCC,5.0,1.0,21.5,0.000112,-,-,-,-,-,-
Eucalyptus globulus,VSC,1.0,7.0,0.6,0.7982737,8.5e-06,-,-,-,-,-
Eucalyptus globulus,VSC,2.0,7.0,0.6,0.7982737,8.5e-06,-,-,-,-,-
Eucalyptus globulus,VSC,3.0,7.0,0.05,0.7677083,0.0016267,-,-,-,-,-
Eucalyptus globulus,VSC,5.0,7.0,2.55,0.7571656,8.57e-05,-,-,-,-,-
Eucalyptus globulus,IAVC,1.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus globulus,IAVC,2.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus globulus,IAVC,3.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus globulus,IAVC,5.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus globulus,VLE,1.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,2.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,3.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus globulus,VLE,5.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus nitens,VCC,2.0,1.0,44.68,0.000218,-,-,-,-,-,-
Eucalyptus nitens,VCC,3.0,1.0,44.68,0.000218,-,-,-,-,-,-
Eucalyptus nitens,VCC,5.0,1.0,42.09,0.000151,-,-,-,-,-,-
Eucalyptus nitens,VSC,2.0,7.0,0.6,0.7982737,8.5e-06,-,-,-,-,-
Eucalyptus nitens,VSC,3.0,7.0,0.05,0.7677083,0.0016267,-,-,-,-,-
Eucalyptus nitens,VSC,5.0,7.0,2.55,0.7571656,8.57e-05,-,-,-,-,-
Eucalyptus nitens,IAVC,2.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,IAVC,3.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,IAVC,5.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,VLE,2.0,12.0,-,-,-,-,4.4e-05,2.39055,-,-
Eucalyptus nitens,VLE,3.0,12.0,-,-,-,-,4.4e-05,2.39055,-,-
